dimension_id,subcategoria,modos,marco,referencia,confianza,nota
seguridad,Seguridad del entorno de ejecución agéntico (sistemas agénticos),2,buena_practica,,alta,"Va por delante de la norma."
seguridad,Monitorización de seguridad,5,ai_act,Art. 72,alta,
seguridad,Elusión de controles,3,ai_act,Art. 15.5,alta,"★ El artículo nombra «model evasion» literalmente."
seguridad,Control de acceso,5,iso_27001,,alta,
seguridad,Compromiso del perímetro agéntico (sistemas agénticos),5,buena_practica,,alta,"Va por delante de la norma."
seguridad,Ataques de infraestructura,4,iso_27001,,alta,
seguridad,Integridad de la base de conocimiento (IA generativa),2,ai_act,Art. 10,baja,"Gobernanza de datos, pero el RAG no está contemplado. Podría ser buena práctica."
seguridad,Manipulación del modelo,4,ai_act,Art. 15.5,alta,"★ El artículo nombra «model poisoning» literalmente."
seguridad,Riesgos de confidencialidad,4,ai_act,Art. 15.5,alta,"★ El artículo nombra «confidentiality attacks» literalmente."
tecnica,Despliegue,6,buena_practica,,media,"Ingeniería. Revisar si alguno toca el Art. 17.1.b."
tecnica,Coordinación multi-agente,5,buena_practica,,alta,"Va por delante de la norma."
tecnica,Dependencias,6,buena_practica,,media,"Cadena de suministro. Podría ser ISO A.10."
tecnica,Rendimiento del modelo,4,ai_act,Art. 15.1,alta,"Exactitud."
tecnica,Fiabilidad de outputs,5,ai_act,Art. 15.1,alta,
tecnica,Escalabilidad,4,ai_act,Art. 15.4,alta,"CONFIRMADO: fallo catastrófico ante condiciones de estrés. El Art. 15.4 exige resiliencia frente a errores y fallos, con planes de respaldo o a prueba de fallos. Si algún modo concreto es puramente comercial, se corrige con is_override."
tecnica,Control del contexto,4,buena_practica,,alta,"Específico de generativa."
tecnica,Evaluación,7,ai_act,Art. 17.1.d,alta,"Procedimientos de examen, prueba y validación."
tecnica,Actualizaciones,7,ai_act,Art. 17.1.a,alta,
tecnica,Calidad de datos,6,ai_act,Art. 10,alta,"Gobernanza de datos. Anclaje sólido."
tecnica,Interpretabilidad,6,ai_act,Art. 13,alta,
tecnica,Complejidad computacional,2,negocio,,alta,"El ejemplo que diste: no normativo, pero afecta a la viabilidad."
tecnica,Calidad en sistemas RAG,6,buena_practica,,alta,
tecnica,Contención y límites,6,buena_practica,,alta,"Va por delante de la norma."
tecnica,Desarrollo,3,iso_42001,A.6,media,
tecnica,Gestión de herramientas,5,buena_practica,,alta,"Específico de agéntica."
tecnica,Latencia,5,ai_act,Art. 14,alta,"CONFIRMADO: impiden supervisar a tiempo. En supervisión síncrona o casi en tiempo real, la latencia consume la ventana operativa y fuerza a decidir sin validar o sobre datos obsoletos. No es rendimiento: es supervisión humana no efectiva."
tecnica,Control de acciones,6,buena_practica,,alta,"Va por delante de la norma."
tecnica,Documentación,5,ai_act,"Art. 11 / Anexo IV",alta,
tecnica,Robustez,4,ai_act,Art. 15.1,alta,
tecnica,Manipulación de entrada,6,ai_act,Art. 15.5,media,"Solapa con ataques adversariales."
tecnica,Monitorización,7,ai_act,Art. 72,alta,
gobernanza,Practicas prohibidas,3,ai_act,Art. 5,alta,"Hueco cubierto: desplegar una practica prohibida no tenia ningun modo."
gobernanza,Clasificacion de riesgo,3,ai_act,Art. 6,alta,"Hueco cubierto: clasificar mal invalida todo lo que venga despues."
gobernanza,Alfabetizacion en IA,3,ai_act,Art. 4,alta,"Hueco cubierto. En vigor desde feb-2025."
gobernanza,Registro en la UE,3,ai_act,Art. 49,alta,"Hueco cubierto. Obliga a proveedores y a desplegadores que sean autoridad publica: revisar activacion por rol."
gobernanza,Conservacion de documentacion y registros,3,ai_act,"Art. 18 / Art. 19",alta,"Hueco cubierto: diez anos de documentacion y seis meses de registros."
gobernanza,Respuesta y cooperacion,2,ai_act,"Art. 21 / Art. 73",alta,"Hueco cubierto. El de notificacion se anclo en el Art. 73, que ya tiene 11 modos: revisar duplicidad."
tecnica,Parada y reversion,1,ai_act,Art. 20,alta,"Hueco cubierto. Subcategoria propia y no «Contencion y limites», que esta mapeada como buena practica."
